prb_id,asn_v4,city
17145,3215,Loire-Atlantique
17149,12322,Deux-Sèvres
17174,12322,Savoie
17190,23872,Gurgaon Division
17228,12322,Aisne
17244,2200,Seine-Maritime
17280,60879,Krasnoyarsk
17297,33915,Utrechtse Heuvelrug
17300,5410,Alpes-Maritimes
17304,577,Estrie
17330,15557,Département de Paris
17394,5432,Brabant Wallon
17403,701,Essex County
17490,13977,Hillsborough County
17540,20880,Berlin
17590,24560,Bangalore Division
17596,20115,Washtenaw County
17620,397727,Halifax Regional Municipality
17658,50045,Moskva
17681,43097,Krasnoyarsk
17689,8402,Gorod Korolev
17703,199860,Санкт-Петербург
17704,56534,Sankt-Peterburg
17705,9113,Gorod Chernogolovka
17715,1136,Haarlemmermeer
17736,6908,New York County
17758,137,Provincia di Pisa
17780,41562,Lausanne
17783,197298,Gorod Yaroslavl'
17797,7018,San Francisco County
17826,6057,CH
17830,6327,Nanaimo
17845,852,Rocky View
17863,29321,Hlavní město Praha
17882,378,Jerusalem District
17908,6327,Metro Vancouver
17914,5650,Tarrant County
17919,202032,Mendrisio
17924,3215,Ardèche
17931,35592,Hlavní město Praha
17941,34911,Písek
17948,33915,Hollands Kroon
17950,33915,Apeldoorn
17951,35540,Seine-Saint-Denis
17958,5607,Falkirk
17961,35046,Chrudim
17962,5617,Powiat Poznań
17968,201727,Rakovník
17979,13037,Scottish Borders
17990,5089,Derby
17997,33915,Eindhoven
18019,262178,Santiago
18054,786,York
18062,209,Multnomah County
18109,34245,County Dublin
18113,49941,Braga
18138,41897,Severnobački okrug
18152,3661,New Territories
18157,10076,Sukhbaatar District
18169,37520,Sarah Baartman District Municipality
18192,4616,Kowloon
18210,34872,Liège
18302,39591,Gilze en Rijen
18310,199484,Fatih
18348,15594,Düsseldorf
18369,10094,Kianggeh
18414,393552,Boulder County
18425,7922,Champaign County
18430,51263,Essex
18438,5650,Collin County
18477,4764,City of Frankston
18511,16591,Salt Lake County
18534,39007,Klaipėdos apskritis
18550,7377,Pinellas County
18566,8251,Mladá Boleslav
18578,30298,Washington County
18579,48971,Zug
18651,3262,Madrid
18655,786,Brighton and Hove
18665,786,Merseyside
18673,197975,Hamburg
18675,33824,Oberbayern
50714,8251,Plzeň-město
18691,5547,Gorod Irkutsk
18696,56427,Žďár nad Sázavou
18720,61349,Alblasserdam
18733,38229,Matara
18750,398721,Estrie
18755,51806,Ille-et-Vilaine
18773,43708,Brno-město
18798,8315,Haarlemmermeer
18816,20712,Caerphilly County Borough
18817,25431,City of Belgrade
18822,201860,Limassol
18848,2552,Missouri
18857,15038,Suffolk County
18864,35432,Nicosia
18878,35328,Námestovo District
18939,48661,Hlavní město Praha
18943,50195,Upravna enota Maribor
18944,2107,Upravna enota Maribor
18948,9125,Grad Beograd
18996,2856,Oxfordshire
19008,44964,Moskva
19023,701,Albany County
19033,30600,Miami County
19048,32437,eThekwini Metropolitan Municipality
19053,20001,Hawaii County
19071,12400,Ashkelon
19082,5650,San Mateo County
19093,31370,Moskva
19096,54613,Los Angeles County
19100,12576,Greater Manchester
19107,4713,Miyazaki
19121,41026,Gliwice
19146,12714,Gorod Pskov
26116,12426,Komárno
26124,56665,Luxembourg
26169,48511,Gorod Bryansk
26178,13036,Svitavy
26179,35661,Nord
26183,4739,Adelaide City Council
26201,13319,Leeds and Grenville United Counties
26291,49420,Warszawa
26320,6805,Detmold
26353,31317,Oberbayern
26355,204053,Mittelfranken
